stage,n_nodes,n_episodes,support_coverage,caliper_minutes,kendall_tau_b,median_rank_displacement,p90_rank_displacement,share_rank_displacement_ge_030,spearman_rho,share_signed_ge_030,share_signed_le_minus030,delay_boundary_tie_count,consequence_boundary_tie_count,top10_overlap,status,heterogeneity_status,candidate_pairs,balanced_episode_pairs,matched_episodes,match_coverage,median_consequence_priority_percentile_gap,p90_consequence_priority_percentile_gap,delay_boundary_tie_fraction,consequence_boundary_tie_fraction,replicate
POST_IB_PRE_OB,195,9,1.0,5.0,0.7510606703436573,0.03589743589743599,0.26666666666666666,0.03076923076923077,0.8899660033227887,0.0,0.03076923076923077,1,1,0.95,PASS,PASS,13528,60,8,0.8888888888888888,0.35128205128205126,0.6384615384615384,0.005128205128205128,0.005128205128205128,22
POST_OB_PRE_TO,14,9,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,1.0,PASS,PASS,85,85,9,1.0,0.3214285714285714,0.7142857142857143,0.21428571428571427,0.21428571428571427,22
PRE_IB,43,10,1.0,5.0,0.8778280542986424,0.06976744186046513,0.13953488372093026,0.0,0.9665658093797277,0.0,0.0,1,1,1.0,PASS,PASS,319,48,10,1.0,0.19186046511627908,0.2895348837209304,0.023255813953488372,0.023255813953488372,23
POST_IB_PRE_OB,238,10,1.0,5.0,0.8661593713330724,0.02941176470588236,0.1554621848739496,0.0,0.9640563661126786,0.0,0.0,3,3,0.8333333333333334,PASS,PASS,12780,48,10,1.0,0.19432773109243695,0.40672268907563053,0.012605042016806723,0.012605042016806723,23
POST_OB_PRE_TO,17,10,1.0,5.0,0.9055118110236222,0.0,0.05882352941176472,0.058823529411764705,0.9478260869565219,0.058823529411764705,0.0,3,3,0.5,PASS,PASS,119,86,10,1.0,0.3235294117647059,0.7058823529411764,0.17647058823529413,0.17647058823529413,23
PRE_IB,35,9,1.0,5.0,0.9278350515463919,0.0,0.05714285714285716,0.0,0.9797837989611119,0.0,0.0,1,1,1.0,PASS,PASS,249,58,9,1.0,0.2571428571428571,0.41142857142857175,0.02857142857142857,0.02857142857142857,24
POST_IB_PRE_OB,386,9,1.0,5.0,0.843153145851906,0.023316062176165817,0.1567357512953368,0.010362694300518135,0.9514976860686076,0.007772020725388601,0.0025906735751295338,1,1,0.9743589743589743,PASS,PASS,40257,58,9,1.0,0.3458549222797927,0.6217616580310881,0.0025906735751295338,0.0025906735751295338,24
POST_OB_PRE_TO,16,9,1.0,5.0,0.9469026548672566,0.0,0.09375,0.0,0.9850968703427717,0.0,0.0,1,1,0.5,PASS,PASS,111,84,9,1.0,0.328125,0.6687500000000002,0.0625,0.0625,24
PRE_IB,30,9,1.0,5.0,0.9144893111638954,0.0,0.13333333333333336,0.0,0.9700759267530146,0.0,0.0,1,1,1.0,PASS,PASS,172,46,9,1.0,0.23333333333333334,0.43333333333333335,0.03333333333333333,0.03333333333333333,25
POST_IB_PRE_OB,212,9,1.0,5.0,0.89048473967684,0.02358490566037741,0.1410377358490566,0.0,0.9710884953522937,0.0,0.0,2,2,1.0,PASS,PASS,12832,46,9,1.0,0.3136792452830188,0.5613207547169812,0.009433962264150943,0.009433962264150943,25
POST_OB_PRE_TO,14,9,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,1.0,PASS,PASS,85,85,9,1.0,0.3214285714285714,0.7214285714285721,0.14285714285714285,0.14285714285714285,25
PRE_IB,52,12,1.0,5.0,0.9212121212121213,0.01923076923076926,0.07692307692307687,0.019230769230769232,0.9772843723313407,0.019230769230769232,0.0,1,2,0.8333333333333334,PASS,PASS,499,54,12,1.0,0.15865384615384615,0.4394230769230769,0.019230769230769232,0.038461538461538464,26
POST_IB_PRE_OB,270,12,1.0,5.0,0.9142990989004933,0.014814814814814725,0.09259259259259267,0.0,0.9800422444747318,0.0,0.0,2,2,0.8518518518518519,PASS,PASS,20087,54,12,1.0,0.19537037037037033,0.5029629629629631,0.007407407407407408,0.007407407407407408,26
POST_OB_PRE_TO,16,12,1.0,5.0,0.9298245614035088,0.0,0.0625,0.0,0.9702823179791977,0.0,0.0,2,2,0.5,PASS,PASS,113,89,12,1.0,0.3125,0.71875,0.125,0.125,26
PRE_IB,31,9,1.0,5.0,0.7802197802197801,0.03225806451612903,0.25806451612903225,0.0967741935483871,0.8650232370175793,0.03225806451612903,0.06451612903225806,1,1,1.0,PASS,PASS,226,52,9,1.0,0.2419354838709677,0.40322580645161293,0.03225806451612903,0.03225806451612903,27
