stage_a,stage_b,kendall_tau_b_difference,top10_overlap_difference,median_rank_displacement_difference,p90_rank_displacement_difference,median_consequence_priority_percentile_gap_difference,p90_consequence_priority_percentile_gap_difference,replicate
PRE_IB,POST_OB_PRE_TO,-0.4398465584163618,-0.670995670995671,0.11004784688995216,0.365504232609496,-0.06132683106367315,-0.07510581523739412,31
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.34148228515144696,-0.181199752628324,0.10177595628415304,0.31073980664144596,-0.076870533837747,-0.12778478352248834,31
PRE_IB,POST_IB_PRE_OB,-0.054119979920557726,-0.4043659043659043,-0.013795946077005128,0.05441599586202439,-0.018964374616105756,-0.060092781172210785,32
PRE_IB,POST_OB_PRE_TO,-0.3135355344205969,-0.4692307692307692,0.059523809523809534,0.29431353297332674,-0.08269923089510717,-0.23911798396334466,32
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.25941555450003917,-0.06486486486486487,0.07331975560081466,0.23989753711130235,-0.06373485627900141,-0.17902520279113388,32
PRE_IB,POST_IB_PRE_OB,0.07664274349843736,0.1704453441295546,-0.029171951816018782,-0.05040167135075985,-0.024365574816988755,-0.06474411586705475,33
PRE_IB,POST_OB_PRE_TO,-0.2804508890797469,-0.052631578947368474,0.06720430107526881,0.25357499168606595,-0.08884824298858224,-0.2012526327458154,33
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3570936325781843,-0.22307692307692306,0.0963762528912876,0.3039766630368258,-0.06448266817159348,-0.13650851687876064,33
PRE_IB,POST_IB_PRE_OB,-0.014257164869211914,-0.1686486486486486,0.01704793566154289,-0.01355232985528243,0.007413624743534936,0.004082924634914442,34
PRE_IB,POST_OB_PRE_TO,-0.29114190030320275,-0.19499999999999995,0.07287449392712553,0.2520166043150719,-0.060882488597345435,-0.16127709731973572,34
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.27688473543399084,-0.02635135135135136,0.05582655826558264,0.2655689341703543,-0.06829611334088037,-0.16536002195465016,34
PRE_IB,POST_IB_PRE_OB,-0.11555424989726015,-0.35004730368968784,0.010082040130473313,0.09424368225099661,0.006686764851240534,0.08708115053869714,35
PRE_IB,POST_OB_PRE_TO,-0.41211311575171083,-0.7142857142857143,0.08955223880597007,0.34579277525416396,-0.07423750811161584,-0.08994159636599619,35
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2965588658544507,-0.36423841059602646,0.07947019867549676,0.25154909300316736,-0.08092427296285637,-0.17702274690469333,35
PRE_IB,POST_IB_PRE_OB,0.051510143224514304,-0.6341533180778033,0.00632202074772259,-0.08986378918934448,0.023732003793212553,0.0229173252104945,36
PRE_IB,POST_OB_PRE_TO,-0.2393258446105857,-0.9565217391304348,0.08695652173913043,0.18626409017713366,-0.042230273752012826,-0.1245974235104671,36
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2908359878351,-0.3223684210526315,0.08063450099140784,0.27612787936647815,-0.06596227754522538,-0.1475147487209616,36
PRE_IB,POST_IB_PRE_OB,0.02432162513356695,-0.35916489738145785,0.013879497619013359,-0.04951157404077172,0.019310449006603503,0.024449711548144792,37
PRE_IB,POST_OB_PRE_TO,-0.29766979979290076,-0.5404040404040404,0.0955056179775281,0.2388191231548799,-0.05039656311962981,-0.09738378497466416,37
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3219914249264677,-0.1812391430225826,0.08162612035851474,0.28833069719565163,-0.06970701212623331,-0.12183349652280895,37
PRE_IB,POST_IB_PRE_OB,-0.0081938252037419,-0.2459123610202747,-0.014755793604496983,0.05350798112106919,-0.002091398419685031,0.023691467359601148,38
PRE_IB,POST_OB_PRE_TO,-0.3120567592029798,-0.25454545454545463,0.07339449541284404,0.3060970948012233,-0.0756402905198777,-0.17163608562691135,38
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3038629339992379,-0.008633093525179936,0.08815028901734102,0.25258911368015413,-0.07354889210019266,-0.1953275529865125,38
