replicate,metric,stage,status,n_nodes,n_episodes,kendall_tau_b,top10_overlap,median_rank_displacement,p90_rank_displacement,support_coverage,caliper_minutes,candidate_pairs,balanced_episode_pairs,matched_episodes,median_consequence_gap,p90_consequence_gap
17,top10_overlap,POST_OB_PRE_TO,PASS,6.0,4.0,1.0,1.0,0.0,0.0,1.0,,,,,,
17,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,8.0,1.0,2.0,0.12764966714432185,0.12764966714432185
17,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,704.0,6.0,4.0,0.1576822187383708,0.3515791210305642
17,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,13.0,6.0,4.0,0.1523007113990068,0.2520076118008735
18,top10_overlap,POST_IB_PRE_OB,PASS,62.0,6.0,0.9564293304994685,0.8571428571428571,0.0,0.06290322580645154,1.0,,,,,,
18,top10_overlap,POST_OB_PRE_TO,PASS,7.0,5.0,1.0,1.0,0.0,0.0,1.0,,,,,,
18,top10_overlap,PRE_IB,PASS,12.0,4.0,0.65625,1.0,0.125,0.4,1.0,,,,,,
18,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,1153.0,12.0,6.0,0.11662629357712909,0.28392949021614056
18,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,19.0,10.0,5.0,0.19385650477648247,0.30190504937680884
18,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,52.0,7.0,4.0,0.02390938737567183,0.13943240265203616
19,top10_overlap,PRE_IB,PASS,12.0,2.0,0.6923076923076924,0.5,0.08333333333333337,0.3166666666666667,1.0,,,,,,
19,top10_overlap,POST_IB_PRE_OB,PASS,33.0,3.0,0.7263969171483623,0.0,0.1515151515151515,0.2727272727272727,1.0,,,,,,
19,top10_overlap,POST_OB_PRE_TO,PASS,4.0,3.0,1.0,1.0,0.0,0.0,1.0,,,,,,
19,median_consequence_gap,PRE_IB,PASS,,,,,,,,5.0,32.0,1.0,2.0,0.01693031461332413,0.01693031461332413
19,median_consequence_gap,POST_IB_PRE_OB,PASS,,,,,,,,5.0,326.0,4.0,3.0,0.052922968786122036,0.08355822553963649
19,median_consequence_gap,POST_OB_PRE_TO,PASS,,,,,,,,5.0,5.0,3.0,3.0,0.10892599389788105,0.11542089116707825
