original_episode_id,decision_node_id,technical_node_id,stage,m,view_count,robust_high_consequence
sha256:7f2fe4ffae7d8e36f9e0c4fab024049858b34c10d7520981d2555d0a310e913c,sha256:ab1fdbe49fe71606422a06b9d79a995aa3114d146d2ceb438168baba8269946a,sha256:ab1fdbe49fe71606422a06b9d79a995aa3114d146d2ceb438168baba8269946a,POST_IB_PRE_OB,3,0,False
sha256:7fd23dce052089e82cfff87c56e5fbd55cba17e65e209fd6ef24c883d7a29f0d,sha256:1e66fb04e1c96fa7d59047694b7f66db388d392f9edf01540e70ae35c0ed1ccc,sha256:1e66fb04e1c96fa7d59047694b7f66db388d392f9edf01540e70ae35c0ed1ccc,POST_IB_PRE_OB,3,0,False
sha256:802eadf18c516c6866ee9487911e4f6527c31b7675f3138d74361f5b3e1b4da0,sha256:5d4aaf5d038a4ef9d1787f7054b0cd411efbb12bf18cafdd47f326e4d452eb3b,sha256:5d4aaf5d038a4ef9d1787f7054b0cd411efbb12bf18cafdd47f326e4d452eb3b,POST_IB_PRE_OB,3,0,False
sha256:8103566065b9d055f455fcf60e91908f8e0796d2647d54a1fbc0781654c688fa,sha256:910a4bc0c1528d89177c7ddac2c49d07699afd0f43896d26f325bfa870ba49c0,sha256:910a4bc0c1528d89177c7ddac2c49d07699afd0f43896d26f325bfa870ba49c0,POST_IB_PRE_OB,3,0,False
sha256:821d9c064ce0d35c20d67925cf60d653dcff4e42018cc8d874ae780dcd8f4648,sha256:3ea1618fe3d1dd483034ce39cc6097c2ff8a44b7221e33958d32b6c3aae28f25,sha256:3ea1618fe3d1dd483034ce39cc6097c2ff8a44b7221e33958d32b6c3aae28f25,POST_IB_PRE_OB,3,0,False
sha256:8529a23662e22b9ffd26a82dc98e03c1415a54bea3ae930cf84f0fe06b37872e,sha256:118512a53bf3e628857be09b6015191328a80b125fe37e3e608eb143a646c742,sha256:118512a53bf3e628857be09b6015191328a80b125fe37e3e608eb143a646c742,POST_IB_PRE_OB,3,0,False
sha256:8b1cd58281a9dfd745efda44159737fd261f3e5a0394d8bf26bd0858569c4989,sha256:9c905603d962258ebd674ea474cd50ccde1889ee9fecd1af27b961746a52ab03,sha256:9c905603d962258ebd674ea474cd50ccde1889ee9fecd1af27b961746a52ab03,POST_IB_PRE_OB,3,7,True
sha256:8dede4f142335c2392da8ba546a888102138b6e530d2f14911ac6147a417c717,sha256:6e580783712fddd5e8e7c96a9bdec5a797777c27812253caedc12a01f30859f2,sha256:6e580783712fddd5e8e7c96a9bdec5a797777c27812253caedc12a01f30859f2,POST_IB_PRE_OB,3,3,True
sha256:8e0c43eee94d184b24df43d48bccb8f3c04c0c57fab498bfe6bea28485fe30b8,sha256:b42a54e8c5114ffe9312a2129e7499c31f34c84b00fbc37db0b0ed89e48d6951,sha256:b42a54e8c5114ffe9312a2129e7499c31f34c84b00fbc37db0b0ed89e48d6951,POST_IB_PRE_OB,3,0,False
sha256:8ec4cb7b2667f829df62a3748d8aa2fe9fd16c72b8541f202ec4b5fa27c25c2f,sha256:1532f07a2d9f3a5a9c65570c3de741c5dae7530237e525e884db036abf6c1581,sha256:1532f07a2d9f3a5a9c65570c3de741c5dae7530237e525e884db036abf6c1581,POST_IB_PRE_OB,3,1,False
sha256:8f79d882dda34aceda0cc2aedb1ec15fd6de01695e208dfeae83ed7ae3d57bd9,sha256:a752ad548138f4d535d0602beab4ea95ca9853d811e188183891b5c4f40e5bff,sha256:a752ad548138f4d535d0602beab4ea95ca9853d811e188183891b5c4f40e5bff,POST_IB_PRE_OB,3,0,False
sha256:909c65b08b7c18af875df2b8f11d5cdb914ceb2e71f3833937300b002ef4b5c5,sha256:eed2d75fa9cd4501d55362f8f3aa88bdd21eb566320a90de47e8896f79d46192,sha256:eed2d75fa9cd4501d55362f8f3aa88bdd21eb566320a90de47e8896f79d46192,POST_IB_PRE_OB,3,0,False
sha256:9136d802eeeb2edae0bad6b4688d8f82f096a435c4768b05ff3b2ae4e83fc470,sha256:7056a7bec0943a294d4c8126bcfde4d239fd14e7dd761062234321a2f2da8fa7,sha256:7056a7bec0943a294d4c8126bcfde4d239fd14e7dd761062234321a2f2da8fa7,POST_IB_PRE_OB,3,1,False
sha256:92954cdff5a86c68328d0a8f09ca47398b691ff8412d2cd90e1ef55b72178388,sha256:8e87abe443134878726cdfb79ed47a4195b0ff7238efefca74aeb5ef02f1b9c8,sha256:8e87abe443134878726cdfb79ed47a4195b0ff7238efefca74aeb5ef02f1b9c8,POST_IB_PRE_OB,3,0,False
sha256:92a29f18646e5814d1fc271bcc58a58302762a6cf73fe4ba740c45e4a0adc937,sha256:3a39d2c66fdc38c3a1fc901fd6de5214813b2f935ecf12361106153533d26ba8,sha256:3a39d2c66fdc38c3a1fc901fd6de5214813b2f935ecf12361106153533d26ba8,POST_IB_PRE_OB,3,0,False
sha256:92dfb300eff61238f0ae402e6956257e202a4ed932f4a45abb7631f7a5ae10ff,sha256:f76fbd30cfbf7ccb05d570667798d7e842bb3604c86eaca32963b86428f0943c,sha256:f76fbd30cfbf7ccb05d570667798d7e842bb3604c86eaca32963b86428f0943c,POST_IB_PRE_OB,3,0,False
sha256:9bc1c4d7908588a21802e6c224ab7595655c93af346cc39b44488108ea0c17e4,sha256:d35bd02577f33e3c200ee75bb649c7e8d69ed092e79296a58ec46bd45e636db5,sha256:d35bd02577f33e3c200ee75bb649c7e8d69ed092e79296a58ec46bd45e636db5,POST_IB_PRE_OB,3,0,False
sha256:9ce5cffb874040a620d68f9d91f95b0a279c0687adcb861dbe822ba059a9b3fe,sha256:49373cbcb2d7824a96668befe97710087bb1c78f0828706d6ae74b9ffba7b71f,sha256:49373cbcb2d7824a96668befe97710087bb1c78f0828706d6ae74b9ffba7b71f,POST_IB_PRE_OB,3,0,False
sha256:9db48b846fa1564a70ddc8d2cd2dae62e8e2b76c470614b4ede20d0f1ebcd0c9,sha256:ed5e77f797bf165b182ef44a350529fd03f8ed00e1ce7d6f82acdc345743af03,sha256:ed5e77f797bf165b182ef44a350529fd03f8ed00e1ce7d6f82acdc345743af03,POST_IB_PRE_OB,3,0,False
sha256:a41457ba655f56cd7192d6646e8ea413e88168eb808e399c0ccd008e8b3bbd74,sha256:253a76a2e0aceffda554f2deb627da18553b83261af1c4b126034de287c1fe07,sha256:253a76a2e0aceffda554f2deb627da18553b83261af1c4b126034de287c1fe07,POST_IB_PRE_OB,3,0,False
