decision_node_id,band,conditional_top1_action_id,top1_residual_risk_objective,top1_expected_constructed_eur,n_conditional_comparable_actions,support_status
sha256:f93a3dfdd336c2ca34c49aef9c7f7d8b48e300f769a1eb5304a2f6d6a13eaf4e,BASE,A00,41.55313296004874,29.693447195923657,23,PARTIAL_DIAGNOSTIC
sha256:f93a3dfdd336c2ca34c49aef9c7f7d8b48e300f769a1eb5304a2f6d6a13eaf4e,HIGH,A00,83.10626592009748,59.386894391847314,23,PARTIAL_DIAGNOSTIC
sha256:f74d6b9c096ee9dd56300d6be1928d40ce472c8d8929a2a47660951455460afa,LOW,A00,20.805485687462834,14.879207156897893,23,PARTIAL_DIAGNOSTIC
sha256:f74d6b9c096ee9dd56300d6be1928d40ce472c8d8929a2a47660951455460afa,BASE,A00,41.61097137492567,29.758414313795786,23,PARTIAL_DIAGNOSTIC
sha256:f74d6b9c096ee9dd56300d6be1928d40ce472c8d8929a2a47660951455460afa,HIGH,A00,83.22194274985134,59.51682862759157,23,PARTIAL_DIAGNOSTIC
sha256:326b1bdc6d2112c25bdc3f105eb3f2a7c256c199794b2e11de1be773fab12514,LOW,A00,20.829637559696877,14.906562017433577,23,PARTIAL_DIAGNOSTIC
sha256:326b1bdc6d2112c25bdc3f105eb3f2a7c256c199794b2e11de1be773fab12514,BASE,A00,41.659275119393754,29.813124034867155,23,PARTIAL_DIAGNOSTIC
sha256:326b1bdc6d2112c25bdc3f105eb3f2a7c256c199794b2e11de1be773fab12514,HIGH,A00,83.31855023878751,59.62624806973431,23,PARTIAL_DIAGNOSTIC
sha256:84fd7e0b730f052649d0570a5813440b67cca613afa26b1053ec667021987eb0,LOW,A00,20.850793192378752,14.93063808122244,23,PARTIAL_DIAGNOSTIC
sha256:84fd7e0b730f052649d0570a5813440b67cca613afa26b1053ec667021987eb0,BASE,A00,41.701586384757505,29.86127616244488,23,PARTIAL_DIAGNOSTIC
sha256:84fd7e0b730f052649d0570a5813440b67cca613afa26b1053ec667021987eb0,HIGH,A00,83.40317276951501,59.72255232488976,23,PARTIAL_DIAGNOSTIC
sha256:e620401c127da00255155bba4866442467d42e1dd98b77de8d700e0ad124e60b,LOW,A00,20.87004966453967,14.952611615364672,23,PARTIAL_DIAGNOSTIC
sha256:e620401c127da00255155bba4866442467d42e1dd98b77de8d700e0ad124e60b,BASE,A00,41.74009932907934,29.905223230729344,23,PARTIAL_DIAGNOSTIC
sha256:e620401c127da00255155bba4866442467d42e1dd98b77de8d700e0ad124e60b,HIGH,A00,83.48019865815868,59.81044646145869,23,PARTIAL_DIAGNOSTIC
sha256:585da2e16e93a68ad752add7a06e96ebc949f6b4f429c84620510ce27d2421e5,LOW,A00,20.88790891312027,14.972992312987046,23,PARTIAL_DIAGNOSTIC
sha256:585da2e16e93a68ad752add7a06e96ebc949f6b4f429c84620510ce27d2421e5,BASE,A00,41.77581782624054,29.94598462597409,23,PARTIAL_DIAGNOSTIC
sha256:585da2e16e93a68ad752add7a06e96ebc949f6b4f429c84620510ce27d2421e5,HIGH,A00,83.55163565248108,59.89196925194818,23,PARTIAL_DIAGNOSTIC
sha256:ad7df70bedffd77a8bdc4e9d38f42a3c1a24ae09d695ae109bafdbcbacb93a90,LOW,A00,20.904909665951266,14.992407316128167,23,PARTIAL_DIAGNOSTIC
sha256:ad7df70bedffd77a8bdc4e9d38f42a3c1a24ae09d695ae109bafdbcbacb93a90,BASE,A00,41.80981933190253,29.984814632256334,23,PARTIAL_DIAGNOSTIC
sha256:ad7df70bedffd77a8bdc4e9d38f42a3c1a24ae09d695ae109bafdbcbacb93a90,HIGH,A00,83.61963866380506,59.96962926451267,23,PARTIAL_DIAGNOSTIC
sha256:6c77673e723f7dd14af512ad57bd8acdc2c7c4c27f3f6b5da5e0c03e3d9464b3,LOW,A00,15.46061585791323,9.483528222435083,23,PARTIAL_DIAGNOSTIC
sha256:6c77673e723f7dd14af512ad57bd8acdc2c7c4c27f3f6b5da5e0c03e3d9464b3,BASE,A00,30.92123171582646,18.967056444870167,23,PARTIAL_DIAGNOSTIC
sha256:6c77673e723f7dd14af512ad57bd8acdc2c7c4c27f3f6b5da5e0c03e3d9464b3,HIGH,A00,61.84246343165292,37.934112889740334,23,PARTIAL_DIAGNOSTIC
sha256:c5071968e94aa25626dec420e802e3d92ed646e7b1f75b95418fa783dd4a3af5,LOW,A00,20.30394801191339,13.628487524910687,23,PARTIAL_DIAGNOSTIC
sha256:c5071968e94aa25626dec420e802e3d92ed646e7b1f75b95418fa783dd4a3af5,BASE,A00,40.60789602382678,27.256975049821374,23,PARTIAL_DIAGNOSTIC
sha256:c5071968e94aa25626dec420e802e3d92ed646e7b1f75b95418fa783dd4a3af5,HIGH,A00,81.21579204765357,54.51395009964275,23,PARTIAL_DIAGNOSTIC
sha256:2191243143247922115b15fc15b1e2d4a26d4e3364fac7469f33bd1d1fc788da,LOW,A00,20.77565788309339,14.090540430818313,23,PARTIAL_DIAGNOSTIC
sha256:2191243143247922115b15fc15b1e2d4a26d4e3364fac7469f33bd1d1fc788da,BASE,A00,41.55131576618678,28.181080861636627,23,PARTIAL_DIAGNOSTIC
sha256:2191243143247922115b15fc15b1e2d4a26d4e3364fac7469f33bd1d1fc788da,HIGH,A00,83.10263153237356,56.36216172327325,23,PARTIAL_DIAGNOSTIC
sha256:914db03a304e5f33bae459da56ca466f65db27e937d6bd3a65cc531d2199bb43,LOW,A00,21.090695861630046,14.400987349423945,23,PARTIAL_DIAGNOSTIC
sha256:914db03a304e5f33bae459da56ca466f65db27e937d6bd3a65cc531d2199bb43,BASE,A00,42.18139172326009,28.80197469884789,23,PARTIAL_DIAGNOSTIC
sha256:914db03a304e5f33bae459da56ca466f65db27e937d6bd3a65cc531d2199bb43,HIGH,A00,84.36278344652018,57.60394939769578,23,PARTIAL_DIAGNOSTIC
sha256:e64e09ae2e6c0a80698b89eb4bf387b063c1bb1e7646a7242b15a63a6e805a72,LOW,A00,21.28396183879652,14.59356852250261,23,PARTIAL_DIAGNOSTIC
