iata,ident,lat,lon,timezone
ANY,KANY,37.158501,-98.079597,America/Chicago
AOH,KAOH,40.706902,-84.026703,America/New_York
AOO,KAOO,40.29639816,-78.31999969,America/New_York
APA,KAPA,39.57009888,-104.848999,America/Denver
APC,KAPC,38.2132,-122.280998,America/Los_Angeles
APF,KAPF,26.1525993347,-81.7752990723,America/New_York
APG,KAPG,39.466202,-76.1688,America/New_York
APH,KAPH,38.068902,-77.318298,America/New_York
APN,KAPN,45.0780983,-83.56030273,America/Detroit
APT,KAPT,35.060699,-85.585297,America/Chicago
APV,KAPV,34.575298309299995,-117.185997009,America/Los_Angeles
ARA,KARA,30.0378,-91.883904,America/Chicago
ARB,KARB,42.2229995728,-83.74559783939999,America/Detroit
ARG,KARG,36.124667,-90.925111,America/Chicago
WHT,KARM,29.254299,-96.154404,America/Chicago
AUZ,KARR,41.771900177,-88.47570037839999,America/Chicago
ART,KART,43.99190139770508,-76.02169799804688,America/New_York
ARV,KARV,45.92789841,-89.73090363,America/Chicago
BFT,KARW,32.4122009277,-80.6343994141,America/New_York
ASE,KASE,39.22320175,-106.8690033,America/Denver
SPZ,KASG,36.176399231,-94.1193008423,America/Chicago
ASH,KASH,42.7817,-71.514801,America/New_York
ASL,KASL,32.5205001831,-94.307800293,America/Chicago
ASN,KASN,33.569900512699995,-86.05090332030001,America/Chicago
AST,KAST,46.158000946,-123.878997803,America/Los_Angeles
ASX,KASX,46.54850006,-90.91899872,America/Chicago
ASY,KASY,46.0238990784,-99.3526000977,America/Chicago
ATL,KATL,33.6367,-84.428101,America/New_York
ATS,KATS,32.8525009155,-104.468002319,America/Denver
ATW,KATW,44.2580986023,-88.5190963745,America/Chicago
ATY,KATY,44.91400146,-97.15470123,America/Chicago
AUG,KAUG,44.3205986023,-69.7973022461,America/New_York
AUM,KAUM,43.66500092,-92.93340302,America/Chicago
AUN,KAUN,38.95479965,-121.0820007,America/Los_Angeles
AUO,KAUO,32.615101,-85.433998,America/Chicago
AUS,KAUS,30.197535,-97.662015,America/Chicago
AUW,KAUW,44.9262008667,-89.6266021729,America/Chicago
AVL,KAVL,35.436199,-82.541801,America/New_York
AVO,KAVO,27.59119987,-81.52780151,America/New_York
AVP,KAVP,41.3385009766,-75.72339630130001,America/New_York
AVW,KAVQ,32.409065,-111.216199,America/Phoenix
AVX,KAVX,33.4049,-118.416,America/Los_Angeles
AWM,KAWM,35.1351013184,-90.2343978882,America/Chicago
AXG,KAXA,43.0778999329,-94.2720031738,America/Chicago
AXN,KAXN,45.8662986755,-95.3946990967,America/Chicago
AXS,KAXS,34.697952,-99.3385,America/Chicago
AXV,KAXV,40.49340057,-84.29889679,America/New_York
AXX,KAXX,36.422000885,-105.290000916,America/Denver
AYE,KAYE,42.571961,-71.603766,America/New_York
AYS,KAYS,31.2490997314,-82.39550018310001,America/New_York
TUH,KAYX,35.39260101,-86.08580017,America/Chicago
AZO,KAZO,42.234901428222656,-85.5521011352539,America/Detroit
BAB,KBAB,39.136101,-121.436996,America/Los_Angeles
BAD,KBAD,32.501801,-93.662697,America/Chicago
BAF,KBAF,42.157799,-72.715599,America/New_York
CLU,KBAK,39.262386,-85.895576,America/Indiana/Indianapolis
BAM,KBAM,40.598999023400005,-116.874000549,America/Los_Angeles
BBB,KBBB,45.3319015503,-95.6505966187,America/Chicago
BBD,KBBD,31.1793003082,-99.3238983154,America/Chicago
BTN,KBBP,34.62170029,-79.73439789,America/New_York
BBW,KBBW,41.4365005493,-99.6421966553,America/Chicago
BCB,KBCB,37.2075996399,-80.4077987671,America/New_York
BCE,KBCE,37.706401825,-112.144996643,America/Denver
BCT,KBCT,26.3784999847,-80.1076965332,America/New_York
BDE,KBDE,48.7284011841,-94.612197876,America/Chicago
BDG,KBDG,37.58330154,-109.4830017,America/Denver
BDL,KBDL,41.93851,-72.688066,America/New_York
BDR,KBDR,41.16350173950195,-73.1261978149414,America/New_York
WBU,KBDU,40.0393981934,-105.225997925,America/Denver
KBE,KBE,55.9291000366,-131.572006226,America/Sitka
BEC,KBEC,37.6944999695,-97.21499633790002,America/Chicago
BED,KBED,42.47000122,-71.28900146,America/New_York
BEH,KBEH,42.128601074200006,-86.4284973145,America/Detroit
BFD,KBFD,41.8031005859375,-78.64009857177734,America/New_York
BFF,KBFF,41.87400055,-103.5960007,America/Denver
BFI,KBFI,47.529999,-122.302002,America/Los_Angeles
BFL,KBFL,35.433601,-119.056999,America/Los_Angeles
BFM,KBFM,30.626800537100003,-88.06809997559999,America/Chicago
BFR,KBFR,38.84000015,-86.44539642,America/Indiana/Indianapolis
BGD,KBGD,35.700901031499995,-101.393997192,America/Chicago
BGE,KBGE,30.9715004,-84.63739777,America/New_York
BGM,KBGM,42.20869827,-75.97979736,America/New_York
BGR,KBGR,44.8074,-68.828102,America/New_York
BHB,KBHB,44.45000076,-68.3615036,America/New_York
BHM,KBHM,33.562901,-86.753502,America/Chicago
BID,KBID,41.1680984497,-71.577796936,America/New_York
BIE,KBIE,40.3013000488,-96.75409698490002,America/Chicago
BIF,KBIF,31.84950066,-106.3799973,America/Denver
BIH,KBIH,37.3731002808,-118.363998413,America/Los_Angeles
BIL,KBIL,45.807701,-108.542999,America/Denver
BIS,KBIS,46.77270126342773,-100.74600219726562,America/Chicago
BIX,KBIX,30.4104003906,-88.92440032959999,America/Chicago
BJC,KBJC,39.90879822,-105.1169968,America/Denver
BJI,KBJI,47.50939941,-94.93370056,America/Chicago
BJJ,KBJJ,40.8748016357,-81.88829803470001,America/New_York
BKD,KBKD,32.71900177,-98.8909988403,America/Chicago
BKE,KBKE,44.8372993469,-117.808998108,America/Los_Angeles
BFK,KBKF,39.701698,-104.751999,America/Denver
BKL,KBKL,41.51750183105469,-81.68329620361328,America/New_York
BKT,KBKT,37.0741996765,-77.9574966431,America/New_York
BKW,KBKW,37.7873001099,-81.1241989136,America/New_York
