episode_id,component,channel,comparison,absolute_mean_distortion,absolute_tail_distortion,n_nodes
sha256:3c0efef12c89add8481f7b74abc06ace2acfc7c9ae2c8911f59a6f4d11affca8,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,2
sha256:3c0efef12c89add8481f7b74abc06ace2acfc7c9ae2c8911f59a6f4d11affca8,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,2
sha256:3cbe1d3c28fefc5e05634bd16bac697f6f3b6c8ec24dc0269b5f2a12417ef2a2,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,8
sha256:3cbe1d3c28fefc5e05634bd16bac697f6f3b6c8ec24dc0269b5f2a12417ef2a2,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,8
sha256:3cbe1d3c28fefc5e05634bd16bac697f6f3b6c8ec24dc0269b5f2a12417ef2a2,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:3cbe1d3c28fefc5e05634bd16bac697f6f3b6c8ec24dc0269b5f2a12417ef2a2,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:402e50f1ff2b6883ca83dfccca0fc7f64b884554559ee570d3f1a5fbfb592f77,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,8
sha256:402e50f1ff2b6883ca83dfccca0fc7f64b884554559ee570d3f1a5fbfb592f77,F_continuity,Flight,POINT_MINUS_JOINT,0.00010465116279069767,0.0010465116279069768,8
sha256:42a14675030dafcd004783399878efe6902b6b8df0bc9a976dd8eec7f557edc3,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,23
sha256:42a14675030dafcd004783399878efe6902b6b8df0bc9a976dd8eec7f557edc3,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,23
sha256:42a14675030dafcd004783399878efe6902b6b8df0bc9a976dd8eec7f557edc3,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,2
sha256:42a14675030dafcd004783399878efe6902b6b8df0bc9a976dd8eec7f557edc3,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,2
sha256:436b80c2e54bc585729f4ed9aba0e7507351da1428093c88f7198ece74393838,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,10
sha256:436b80c2e54bc585729f4ed9aba0e7507351da1428093c88f7198ece74393838,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,10
sha256:436b80c2e54bc585729f4ed9aba0e7507351da1428093c88f7198ece74393838,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,2
sha256:436b80c2e54bc585729f4ed9aba0e7507351da1428093c88f7198ece74393838,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,2
sha256:44b9fd5f6319da8e1d5b28b4fa9bc1200fc154b9ef0c157dae4a8b817ba24bc7,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,4
sha256:44b9fd5f6319da8e1d5b28b4fa9bc1200fc154b9ef0c157dae4a8b817ba24bc7,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,4
sha256:44f1aa2681ebb944368caf826e3a034a76e9d2e60a172fec117d6fceea3c2138,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:44f1aa2681ebb944368caf826e3a034a76e9d2e60a172fec117d6fceea3c2138,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:4b1e28733ab8e4bebdbee6cb187098efe69ce2863b5785c0b4f5c113f3bc665c,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,10
sha256:4b1e28733ab8e4bebdbee6cb187098efe69ce2863b5785c0b4f5c113f3bc665c,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,10
sha256:4b57944dca417714024c2cb73b578abc8e9c84656e9c472735690e42f962b4a7,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,13
sha256:4b57944dca417714024c2cb73b578abc8e9c84656e9c472735690e42f962b4a7,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,13
sha256:4b57944dca417714024c2cb73b578abc8e9c84656e9c472735690e42f962b4a7,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,2
sha256:4b57944dca417714024c2cb73b578abc8e9c84656e9c472735690e42f962b4a7,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,2
sha256:4cc5721218e3c92a3972961c724182e47afaa7e72e67d7fcf5b0b181c236c862,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,10
sha256:4cc5721218e3c92a3972961c724182e47afaa7e72e67d7fcf5b0b181c236c862,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,10
sha256:4ceded2e20c37c4bd58c23dacbce7a3e6c6f344645cf12d5b9d53daaba772059,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:4ceded2e20c37c4bd58c23dacbce7a3e6c6f344645cf12d5b9d53daaba772059,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,9
sha256:4ceded2e20c37c4bd58c23dacbce7a3e6c6f344645cf12d5b9d53daaba772059,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:4ceded2e20c37c4bd58c23dacbce7a3e6c6f344645cf12d5b9d53daaba772059,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:4dd77563fd50d7c805fc789c9974ff08e00177b1376203e49df9b84fdfaa9f47,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,11
sha256:4dd77563fd50d7c805fc789c9974ff08e00177b1376203e49df9b84fdfaa9f47,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,11
sha256:4dd77563fd50d7c805fc789c9974ff08e00177b1376203e49df9b84fdfaa9f47,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:4dd77563fd50d7c805fc789c9974ff08e00177b1376203e49df9b84fdfaa9f47,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:510abd23e23e320ff38ddd1f3853911be839643757730779fe7933a210573ab7,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,12
sha256:510abd23e23e320ff38ddd1f3853911be839643757730779fe7933a210573ab7,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,12
sha256:5127cac22e525d592ee8cb981de5e070b24764e1585466b612ef1afa149955fb,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,6
sha256:5127cac22e525d592ee8cb981de5e070b24764e1585466b612ef1afa149955fb,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,6
sha256:5127cac22e525d592ee8cb981de5e070b24764e1585466b612ef1afa149955fb,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,2
sha256:5127cac22e525d592ee8cb981de5e070b24764e1585466b612ef1afa149955fb,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,2
