decision_node_id,response_sensitivity,a00_baseline_action_id,a00_baseline_objective,conditional_diagnostic_top1_action_id,factual_non_a00_candidate_count,supported_non_a00_candidate_count,operational_non_a00_candidate_count,recommendation_status,recommended_action_id,recommended_objective
sha256:01a5d444778ea2139bf1a74eb6218c889d018f7caa9864229630821c73641b19,BASE,A00,36.57161963151637,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01a5d444778ea2139bf1a74eb6218c889d018f7caa9864229630821c73641b19,HIGH,A00,73.14323926303274,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01a5d444778ea2139bf1a74eb6218c889d018f7caa9864229630821c73641b19,LOW,A00,18.285809815758185,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01c8af559d63fb28a4b0843dd85e1d1f2e6f0495e714d4814574c20a200d3f4b,BASE,A00,36.359909451158316,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01c8af559d63fb28a4b0843dd85e1d1f2e6f0495e714d4814574c20a200d3f4b,HIGH,A00,72.71981890231663,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01c8af559d63fb28a4b0843dd85e1d1f2e6f0495e714d4814574c20a200d3f4b,LOW,A00,18.179954725579158,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01dd6c8dd508b6c2df3b4ce8d0dd2118f77769d9fe7a433bf39ca4e90bc49fa8,BASE,A00,36.95812915845241,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01dd6c8dd508b6c2df3b4ce8d0dd2118f77769d9fe7a433bf39ca4e90bc49fa8,HIGH,A00,73.91625831690482,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01dd6c8dd508b6c2df3b4ce8d0dd2118f77769d9fe7a433bf39ca4e90bc49fa8,LOW,A00,18.479064579226204,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01ebe50c1786f73a110aa18067a88753076e6c1c580b00f132d3737173cee09c,BASE,A00,36.271846915370986,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01ebe50c1786f73a110aa18067a88753076e6c1c580b00f132d3737173cee09c,HIGH,A00,72.54369383074197,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:01ebe50c1786f73a110aa18067a88753076e6c1c580b00f132d3737173cee09c,LOW,A00,18.135923457685493,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0208219e47cd5375b06181f03e0922e5faf4e909064202339f9d015322f97188,BASE,A00,39.264557881773726,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0208219e47cd5375b06181f03e0922e5faf4e909064202339f9d015322f97188,HIGH,A00,78.52911576354745,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0208219e47cd5375b06181f03e0922e5faf4e909064202339f9d015322f97188,LOW,A00,19.632278940886863,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:021eb2469f8242cbea5ae8ae86c4926831fa91825859889eac6fd96baa86369f,BASE,A00,25.208875857859518,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:021eb2469f8242cbea5ae8ae86c4926831fa91825859889eac6fd96baa86369f,HIGH,A00,50.417751715719035,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:021eb2469f8242cbea5ae8ae86c4926831fa91825859889eac6fd96baa86369f,LOW,A00,12.604437928929759,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02242cd6738240f9a716ee07c4d449698e11c78b67ac3e16ffec1399248fb4f0,BASE,A00,38.06769322131956,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02242cd6738240f9a716ee07c4d449698e11c78b67ac3e16ffec1399248fb4f0,HIGH,A00,76.13538644263912,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02242cd6738240f9a716ee07c4d449698e11c78b67ac3e16ffec1399248fb4f0,LOW,A00,19.03384661065978,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:022434569c8f2c31a69372c5b4ee1bfa701368939173d58035063614a68fb9ad,BASE,A00,40.5763865362305,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:022434569c8f2c31a69372c5b4ee1bfa701368939173d58035063614a68fb9ad,HIGH,A00,81.152773072461,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:022434569c8f2c31a69372c5b4ee1bfa701368939173d58035063614a68fb9ad,LOW,A00,20.28819326811525,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02291e9eb63985aad97c3ab6027c4f8ba9c44166da7eeebef78e01f52052e867,BASE,A00,41.45969531850903,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02291e9eb63985aad97c3ab6027c4f8ba9c44166da7eeebef78e01f52052e867,HIGH,A00,82.91939063701805,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:02291e9eb63985aad97c3ab6027c4f8ba9c44166da7eeebef78e01f52052e867,LOW,A00,20.729847659254514,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0235c1b9f83a8af390a45a55dfecf0bdee7d1258380ed749bbe610565551e6ff,BASE,A00,48.172244072763576,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0235c1b9f83a8af390a45a55dfecf0bdee7d1258380ed749bbe610565551e6ff,HIGH,A00,96.34448814552715,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
sha256:0235c1b9f83a8af390a45a55dfecf0bdee7d1258380ed749bbe610565551e6ff,LOW,A00,24.086122036381788,A00,0,0,0,ABSTAIN_NO_FACTUALLY_ELIGIBLE_NON_A00,,
